disciplinaResumen,barrio,comuna,establecimiento,cantidad
ARTES ESCÉNICAS,Agronomia,Comuna 15,Milonga Del Moran,1
ARTES ESCÉNICAS,Almagro,Comuna 05,,1
ARTES ESCÉNICAS,Almagro,Comuna 05,Bar El Simbolo,4
ARTES ESCÉNICAS,Almagro,Comuna 05,El Porton De Sanchez,1
ARTES ESCÉNICAS,Almagro,Comuna 05,Universidad Tecnologica Nacional,3
ARTES ESCÉNICAS,Balvanera,Comuna 03,,6
ARTES ESCÉNICAS,Balvanera,Comuna 03,Centro Cultural Alfonsina Storni,5
ARTES ESCÉNICAS,Balvanera,Comuna 03,Centro Cultural Ricardo Rojas,3
ARTES ESCÉNICAS,Balvanera,Comuna 03,Ciudad Cultural Konex,1
ARTES ESCÉNICAS,Balvanera,Comuna 03,La Academia,1
ARTES ESCÉNICAS,Balvanera,Comuna 03,Museo Casa Carlos Gardel,3
ARTES ESCÉNICAS,Barracas,Comuna 04,,2
ARTES ESCÉNICAS,Barracas,Comuna 04,Centro Cultural La Usina,1
ARTES ESCÉNICAS,Barracas,Comuna 04,Espacio Cultural Del Sur,133
ARTES ESCÉNICAS,Barracas,Comuna 04,Hospital General De Niños Pedro De Elizalde,2
ARTES ESCÉNICAS,Barracas,Comuna 04,Hospital Infanto Juvenil Tobar Garcia,1
ARTES ESCÉNICAS,Barracas,Comuna 04,La Flor De Barracas,2
ARTES ESCÉNICAS,Belgrano,Comuna 13,Auditorio Belgrano,2
ARTES ESCÉNICAS,Belgrano,Comuna 13,Museo De Arte Español Enrique Larreta,2
ARTES ESCÉNICAS,Boca,Comuna 04,,39
ARTES ESCÉNICAS,Boca,Comuna 04,Barrio Rodrigo Bueno,3
ARTES ESCÉNICAS,Boca,Comuna 04,Teatro De La Ribera,54
ARTES ESCÉNICAS,Boca,Comuna 04,Teatro Rivera,7
ARTES ESCÉNICAS,Boca,Comuna 04,Universidad Nacional De Las Artes,1
ARTES ESCÉNICAS,Boca,Comuna 04,Usina Del Arte,134
ARTES ESCÉNICAS,Boedo,Comuna 05,Bar,1
ARTES ESCÉNICAS,Boedo,Comuna 05,Milonga De Querusa,1
ARTES ESCÉNICAS,Caballito,Comuna 06,,3
ARTES ESCÉNICAS,Caballito,Comuna 06,Anfiteatro Parque Centenario,11
ARTES ESCÉNICAS,Caballito,Comuna 06,Bar,4
ARTES ESCÉNICAS,Caballito,Comuna 06,Centro Cultural Alberto Olmedo,1
ARTES ESCÉNICAS,Caballito,Comuna 06,Centro Cultural El Eternauta,4
ARTES ESCÉNICAS,Caballito,Comuna 06,Centro Cultural Lola Mora,4
ARTES ESCÉNICAS,Caballito,Comuna 06,Centro Cultural Sebastian Piana,11
ARTES ESCÉNICAS,Chacarita,Comuna 15,,5
ARTES ESCÉNICAS,Chacarita,Comuna 15,Barrio Playon De Chacarita,1
ARTES ESCÉNICAS,Chacarita,Comuna 15,Espacio Cultural Carlos Gardel,97
ARTES ESCÉNICAS,Chacarita,Comuna 15,Galpón De Guevara,1
ARTES ESCÉNICAS,Chacarita,Comuna 15,Teatro Regio,176
ARTES ESCÉNICAS,Colegiales,Comuna 13,Centro Cultural Colegiales,2
ARTES ESCÉNICAS,Constitucion,Comuna 01,,1
ARTES ESCÉNICAS,Flores,Comuna 07,,1
ARTES ESCÉNICAS,Flores,Comuna 07,Barrio Juan Xxiii,1
ARTES ESCÉNICAS,Flores,Comuna 07,Centro Cultural Roberto Arlt,5
ARTES ESCÉNICAS,Flores,Comuna 07,Espacio Cultural Marco Del Pont,103
ARTES ESCÉNICAS,Flores,Comuna 07,Milonga La Baldosa,1
ARTES ESCÉNICAS,Floresta,Comuna 10,Biblioteca Hilario Ascasubi,1
ARTES ESCÉNICAS,Floresta,Comuna 10,Centro Cultural Baldomero Fernandez Moreno,2
ARTES ESCÉNICAS,Liniers,Comuna 09,Centro Cultural Elias Castelnuovo,1
ARTES ESCÉNICAS,Liniers,Comuna 09,Hospital Santojanni,1
ARTES ESCÉNICAS,Monserrat,Comuna 01,,1
ARTES ESCÉNICAS,Monserrat,Comuna 01,Academia Nacional Del Tango,1
ARTES ESCÉNICAS,Monserrat,Comuna 01,Bar,9
ARTES ESCÉNICAS,Monserrat,Comuna 01,Bar 36 Billares,1
ARTES ESCÉNICAS,Monserrat,Comuna 01,Cafe Tortori,2
ARTES ESCÉNICAS,Monserrat,Comuna 01,Casa De La Cultura,1
ARTES ESCÉNICAS,Monserrat,Comuna 01,Casa Museo Fernandez Blanco,15
ARTES ESCÉNICAS,Monserrat,Comuna 01,Espacio Virrey Liniers,3
ARTES ESCÉNICAS,Monserrat,Comuna 01,Legislatura Porteña,1
ARTES ESCÉNICAS,Monserrat,Comuna 01,Manzana De Las Luces,2
ARTES ESCÉNICAS,Monserrat,Comuna 01,Museo Del Traje,3
ARTES ESCÉNICAS,Monte castro,Comuna 10,Hospital De Rehabilitacion Manuel Roca,1
ARTES ESCÉNICAS,Nueva pompeya,Comuna 04,Centro Cultural Homero Manzi,1
ARTES ESCÉNICAS,Nueva pompeya,Comuna 04,Club Juventud Y Armonia,1
ARTES ESCÉNICAS,Nueva pompeya,Comuna 04,Escuela Dean Diego Estanislao De Zavaleta,1
ARTES ESCÉNICAS,Nueva pompeya,Comuna 04,Polo Bandoneon,2
ARTES ESCÉNICAS,Nuñez,Comuna 13,Centro Cultural Julio Cortazar,2
ARTES ESCÉNICAS,Palermo,Comuna 14,Centro Cultural Tato Bores,1
ARTES ESCÉNICAS,Palermo,Comuna 14,Milonga La Viruta,1
ARTES ESCÉNICAS,Palermo,Comuna 14,Milonga Parakultural,1
ARTES ESCÉNICAS,Palermo,Comuna 14,Museo Jose Hernandez,2
ARTES ESCÉNICAS,Palermo,Comuna 14,Museo Sivori,6
ARTES ESCÉNICAS,Palermo,Comuna 14,Teatro Sarmiento,147
ARTES ESCÉNICAS,Parque avellaneda,Comuna 09,Espacio Cultural Chacra De Los Remedios,157
ARTES ESCÉNICAS,Parque chacabuco,Comuna 07,,1
ARTES ESCÉNICAS,Parque chacabuco,Comuna 07,Espacio Cultural Adan Buenosayres,184
ARTES ESCÉNICAS,Parque chas,Comuna 15,Bar,2
ARTES ESCÉNICAS,Parque patricios,Comuna 04,,1
ARTES ESCÉNICAS,Parque patricios,Comuna 04,Hospital De Pediatria Garrahan,4
ARTES ESCÉNICAS,Parque patricios,Comuna 04,Hospital Muñez,1
ARTES ESCÉNICAS,Puerto madero,Comuna 01,Anfiteatro Nini Marshall,2
ARTES ESCÉNICAS,Recoleta,Comuna 02,Bar,6
ARTES ESCÉNICAS,Recoleta,Comuna 02,Centro Cultural Recoleta,66
ARTES ESCÉNICAS,Recoleta,Comuna 02,Hospital De Niños Ricardo Gutierrez,3
ARTES ESCÉNICAS,Recoleta,Comuna 02,Hospital General De Agudos Bernardino Rivadavia,2
ARTES ESCÉNICAS,Recoleta,Comuna 02,Plaza Francia,2
ARTES ESCÉNICAS,Retiro,Comuna 01,,2
ARTES ESCÉNICAS,Retiro,Comuna 01,Bar,2
ARTES ESCÉNICAS,Retiro,Comuna 01,Barrio 31,5
ARTES ESCÉNICAS,Retiro,Comuna 01,Colegio Domingo Faustino Sarmiento,2
ARTES ESCÉNICAS,Retiro,Comuna 01,Museo De Arte Hispanoamericano Isaac Fernandez Blanco,2
ARTES ESCÉNICAS,Retiro,Comuna 01,Teatro Coliseo,2
ARTES ESCÉNICAS,Retiro,Comuna 01,Teatro Nacional Cervantes,1
ARTES ESCÉNICAS,Saavedra,Comuna 12,Centro Cultural Lino E. Spilimbergo,1
ARTES ESCÉNICAS,Saavedra,Comuna 12,Museo Historico Cornelio Saavedra,17
ARTES ESCÉNICAS,San cristobal,Comuna 03,,59
ARTES ESCÉNICAS,San cristobal,Comuna 03,Espacio Cultural Julian Centeya,26
ARTES ESCÉNICAS,San cristobal,Comuna 03,Milonga Derecho Viejo,1
ARTES ESCÉNICAS,San cristobal,Comuna 03,Polo Circo,25
ARTES ESCÉNICAS,San nicolas,Comuna 01,,1
ARTES ESCÉNICAS,San nicolas,Comuna 01,Bar,7
ARTES ESCÉNICAS,San nicolas,Comuna 01,Bolsa De Comercio,2
ARTES ESCÉNICAS,San nicolas,Comuna 01,Cck,1
ARTES ESCÉNICAS,San nicolas,Comuna 01,Centro Cultural De La Cooperacion,5
ARTES ESCÉNICAS,San nicolas,Comuna 01,Centro Cultural San Martin,440
ARTES ESCÉNICAS,San nicolas,Comuna 01,El Gato Negro,3
ARTES ESCÉNICAS,San nicolas,Comuna 01,Luna Park,1
ARTES ESCÉNICAS,San nicolas,Comuna 01,Opera,2
ARTES ESCÉNICAS,San nicolas,Comuna 01,Teatro Colon,85
ARTES ESCÉNICAS,San nicolas,Comuna 01,Teatro San Martin,487
ARTES ESCÉNICAS,San telmo,Comuna 01,Atrio,2
ARTES ESCÉNICAS,San telmo,Comuna 01,Auditorio Uocra,2
ARTES ESCÉNICAS,San telmo,Comuna 01,Escuela Bernardino Rivadavia,1
ARTES ESCÉNICAS,San telmo,Comuna 01,Mamba,2
ARTES ESCÉNICAS,San telmo,Comuna 01,Teatro Margarita,1
ARTES ESCÉNICAS,Velez sarsfield,Comuna 10,,6
ARTES ESCÉNICAS,Velez sarsfield,Comuna 10,Teatro Gran Rivadavia,1
ARTES ESCÉNICAS,Versalles,Comuna 10,Centro Cultural Versalles,2
ARTES ESCÉNICAS,Villa crespo,Comuna 15,,5
ARTES ESCÉNICAS,Villa crespo,Comuna 15,Bar,2
ARTES ESCÉNICAS,Villa crespo,Comuna 15,Sede Central De La Emad,21
ARTES ESCÉNICAS,Villa del parque,Comuna 11,Espacio Cultural Resurgimiento,82
ARTES ESCÉNICAS,Villa devoto,Comuna 11,Cafe Garcia,1
ARTES ESCÉNICAS,Villa lugano,Comuna 08,Centro Cultural Saladiyo,1
ARTES ESCÉNICAS,Villa ortuzar,Comuna 15,Centro Cultural Roberto Santoro,2
ARTES ESCÉNICAS,Villa soldati,Comuna 08,,3
ARTES ESCÉNICAS,Villa soldati,Comuna 08,Villa 20,1
ARTES ESCÉNICAS,Villa urquiza,Comuna 12,Centro Cultural 25 De Mayo,409
ARTES VISUALES,Balvanera,Comuna 03,,1
ARTES VISUALES,Balvanera,Comuna 03,Museo Casa Carlos Gardel,15
ARTES VISUALES,Barracas,Comuna 04,Espacio Cultural Del Sur,4
ARTES VISUALES,Belgrano,Comuna 13,Facultad Torcuato Ditella,1
ARTES VISUALES,Belgrano,Comuna 13,Museo De Arte Español Enrique Larreta,40
ARTES VISUALES,Belgrano,Comuna 13,Polideportivo Los Piletones,2
ARTES VISUALES,Boca,Comuna 04,,17
ARTES VISUALES,Boca,Comuna 04,Arte Urbano,24
ARTES VISUALES,Boca,Comuna 04,Barrio Rodrigo Bueno,1
ARTES VISUALES,Boca,Comuna 04,Distintos Puntos De La Ciudad,1
ARTES VISUALES,Boca,Comuna 04,Fundacion Proa,26
ARTES VISUALES,Boca,Comuna 04,Galeria Barro,1
ARTES VISUALES,Boca,Comuna 04,Museo Del Cine,5
ARTES VISUALES,Boca,Comuna 04,Usina Del Arte,214
ARTES VISUALES,Caballito,Comuna 06,,2
ARTES VISUALES,Caballito,Comuna 06,Anfiteatro Parque Centenario,1
ARTES VISUALES,Caballito,Comuna 06,Centro Cultural El Eternauta,1
ARTES VISUALES,Caballito,Comuna 06,Museo De Ciencias Naturales,1
ARTES VISUALES,Caballito,Comuna 06,Museo Escultores L. Perlotti,49
ARTES VISUALES,Chacarita,Comuna 15,,1
ARTES VISUALES,Chacarita,Comuna 15,Barrio Playon De Chacarita,1
ARTES VISUALES,Chacarita,Comuna 15,Espacio Cultural Carlos Gardel,17
ARTES VISUALES,Chacarita,Comuna 15,Galeria Mariacasado,1
ARTES VISUALES,Flores,Comuna 07,Espacio Cultural Marco Del Pont,18
ARTES VISUALES,Liniers,Comuna 09,Biblioteca Jose Hernandez,1
ARTES VISUALES,Liniers,Comuna 09,Centro Cultural Elias Castelnuovo,2
ARTES VISUALES,Monserrat,Comuna 01,,1
ARTES VISUALES,Monserrat,Comuna 01,Casa Museo Fernandez Blanco,50
ARTES VISUALES,Monserrat,Comuna 01,Museo De La Ciudad,18
ARTES VISUALES,Monserrat,Comuna 01,Museo Del Bicentenario,2
ARTES VISUALES,Monserrat,Comuna 01,Museo Del Traje,1
ARTES VISUALES,Monserrat,Comuna 01,Querubines,1
ARTES VISUALES,Nueva pompeya,Comuna 04,Centro Cultural Homero Manzi,1
ARTES VISUALES,Nueva pompeya,Comuna 04,Polo Bandoneon,5
ARTES VISUALES,Nuñez,Comuna 13,Museo Malvinas E Islas Atlantico Sur,4
ARTES VISUALES,Palermo,Comuna 14,,4
ARTES VISUALES,Palermo,Comuna 14,Contemporary Latin America Art,1
ARTES VISUALES,Palermo,Comuna 14,Fola,1
ARTES VISUALES,Palermo,Comuna 14,Galeria Acefala,1
ARTES VISUALES,Palermo,Comuna 14,Galeria Espacio Pla,1
ARTES VISUALES,Palermo,Comuna 14,Galeria Hilo,1
ARTES VISUALES,Palermo,Comuna 14,Galeria Maman Art,1
ARTES VISUALES,Palermo,Comuna 14,Galeria Pasto,1
ARTES VISUALES,Palermo,Comuna 14,Hipodromo De Palermo,4
ARTES VISUALES,Palermo,Comuna 14,Jardin Botanico,4
ARTES VISUALES,Palermo,Comuna 14,La Rural,6
ARTES VISUALES,Palermo,Comuna 14,Malba,13
ARTES VISUALES,Palermo,Comuna 14,Museo Jose Hernandez,51
ARTES VISUALES,Palermo,Comuna 14,Museo Sivori,95
ARTES VISUALES,Parque avellaneda,Comuna 09,Barrio Cildañez,1
ARTES VISUALES,Parque avellaneda,Comuna 09,Espacio Cultural Chacra De Los Remedios,58
ARTES VISUALES,Parque chacabuco,Comuna 07,Espacio Cultural Adan Buenosayres,37
ARTES VISUALES,Paternal,Comuna 15,Galeria Isla Flotante,1
ARTES VISUALES,Puerto madero,Comuna 01,Ex-cerveceria Munich,13
ARTES VISUALES,Puerto madero,Comuna 01,"Museo De Calcos Y Escultura Comparada ""ernesto De La Carcova""",3
ARTES VISUALES,Recoleta,Comuna 02,Bliblioteca Nacional,3
ARTES VISUALES,Recoleta,Comuna 02,Centro Cultural Recoleta,73
ARTES VISUALES,Recoleta,Comuna 02,Galeria Cosmocosa,1
ARTES VISUALES,Recoleta,Comuna 02,Galeria Mite,1
ARTES VISUALES,Recoleta,Comuna 02,Galeria Otto,1
ARTES VISUALES,Recoleta,Comuna 02,Galeria Rubbers Internacional,1
ARTES VISUALES,Recoleta,Comuna 02,Museo Nacional Bellas Artes,14
ARTES VISUALES,Recoleta,Comuna 02,Plaza De La Republica Oriental Del Uruguay,1
ARTES VISUALES,Retiro,Comuna 01,,3
ARTES VISUALES,Retiro,Comuna 01,Auditorio Doctorado Untref,1
ARTES VISUALES,Retiro,Comuna 01,Barrio 31,2
ARTES VISUALES,Retiro,Comuna 01,Biblioteca Ricardo Guiraldes,1
ARTES VISUALES,Retiro,Comuna 01,Galeria Aldo De Sousa,1
ARTES VISUALES,Retiro,Comuna 01,Galeria Henrique Faria,1
ARTES VISUALES,Retiro,Comuna 01,Galeria Miranda Bosch,1
ARTES VISUALES,Retiro,Comuna 01,Galeria Roldan Moderno,1
ARTES VISUALES,Retiro,Comuna 01,Galeria Rolf Art,1
ARTES VISUALES,Retiro,Comuna 01,Galeria Van Riel,1
ARTES VISUALES,Retiro,Comuna 01,Museo De Arte Hispanoamericano Isaac Fernandez Blanco,56
ARTES VISUALES,Saavedra,Comuna 12,Centro Cultural Lino E. Spilimbergo,1
ARTES VISUALES,Saavedra,Comuna 12,Museo Historico Cornelio Saavedra,15
ARTES VISUALES,San cristobal,Comuna 03,,2
ARTES VISUALES,San cristobal,Comuna 03,Espacio Cultural Julian Centeya,3
ARTES VISUALES,San nicolas,Comuna 01,Centro Cultural San Martin,118
ARTES VISUALES,San nicolas,Comuna 01,Fundacion Osde,3
ARTES VISUALES,San nicolas,Comuna 01,Teatro Colon,1
ARTES VISUALES,San nicolas,Comuna 01,Teatro San Martin,3
ARTES VISUALES,San telmo,Comuna 01,,2
ARTES VISUALES,San telmo,Comuna 01,Mamba,24
ARTES VISUALES,Villa crespo,Comuna 15,Biblioteca Casa De La Lectura,5
ARTES VISUALES,Villa crespo,Comuna 15,Galeria Atocha,1
ARTES VISUALES,Villa crespo,Comuna 15,Galeria Hache,1
ARTES VISUALES,Villa crespo,Comuna 15,Galeria Nora Fisch,1
ARTES VISUALES,Villa crespo,Comuna 15,Galeria Pabellon 4,1
ARTES VISUALES,Villa crespo,Comuna 15,Galeria Revolver,1
ARTES VISUALES,Villa crespo,Comuna 15,Galeria Ruth Benzacar,1
ARTES VISUALES,Villa crespo,Comuna 15,Galeria Uv,1
ARTES VISUALES,Villa del parque,Comuna 11,Espacio Cultural Resurgimiento,10
ARTES VISUALES,Villa devoto,Comuna 11,Centro Cultural Devoto,3
ARTES VISUALES,Villa lugano,Comuna 08,Centro Cultural Barrio Copello,1
ARTES VISUALES,Villa lugano,Comuna 08,Centro Cultural Saladiyo,1
ARTES VISUALES,Villa lugano,Comuna 08,Tunel De Los Artistas,1
ARTES VISUALES,Villa lugano,Comuna 08,Villa 20,1
ARTES VISUALES,Villa soldati,Comuna 08,Escuela Especial 7 De 9,1
ARTES VISUALES,Villa soldati,Comuna 08,Jardin Ramon Carrillo,6
ARTES VISUALES,Villa urquiza,Comuna 12,Centro Cultural 25 De Mayo,20
CINE Y AUDIOVISUAL,Balvanera,Comuna 03,Centro Cultural Alfonsina Storni,3
CINE Y AUDIOVISUAL,Balvanera,Comuna 03,Museo Casa Carlos Gardel,5
CINE Y AUDIOVISUAL,Barracas,Comuna 04,Centro Cultural La Usina,1
CINE Y AUDIOVISUAL,Barracas,Comuna 04,Escuela Horacio Quiroga,1
CINE Y AUDIOVISUAL,Belgrano,Comuna 13,Polideportivo Los Piletones,3
CINE Y AUDIOVISUAL,Boca,Comuna 04,,2
CINE Y AUDIOVISUAL,Boca,Comuna 04,Barrio Lamadrid,1
CINE Y AUDIOVISUAL,Boca,Comuna 04,Barrio Rodrigo Bueno,1
CINE Y AUDIOVISUAL,Boca,Comuna 04,Museo Del Cine,173
CINE Y AUDIOVISUAL,Boca,Comuna 04,Usina Del Arte,47
CINE Y AUDIOVISUAL,Caballito,Comuna 06,Anfiteatro Parque Centenario,3
CINE Y AUDIOVISUAL,Caballito,Comuna 06,Centro Cultural Lola Mora,6
CINE Y AUDIOVISUAL,Chacarita,Comuna 15,Barrio Playon De Chacarita,4
CINE Y AUDIOVISUAL,Chacarita,Comuna 15,Espacio Cultural Carlos Gardel,11
CINE Y AUDIOVISUAL,Flores,Comuna 07,,1
CINE Y AUDIOVISUAL,Flores,Comuna 07,Barrio Juan Xxiii,3
CINE Y AUDIOVISUAL,Flores,Comuna 07,Espacio Cultural Marco Del Pont,29
CINE Y AUDIOVISUAL,Mataderos,Comuna 09,,1
CINE Y AUDIOVISUAL,Mataderos,Comuna 09,Plaza Los Perales,2
CINE Y AUDIOVISUAL,Monte castro,Comuna 10,Centro Cultural El Taller,2
CINE Y AUDIOVISUAL,Nueva pompeya,Comuna 04,,1
CINE Y AUDIOVISUAL,Nueva pompeya,Comuna 04,Centro Cultural Homero Manzi,1
CINE Y AUDIOVISUAL,Nuñez,Comuna 13,Centro Cultural Julio Cortazar,3
CINE Y AUDIOVISUAL,Palermo,Comuna 14,Museo Jose Hernandez,3
CINE Y AUDIOVISUAL,Parque avellaneda,Comuna 09,Barrio Cildañez,2
CINE Y AUDIOVISUAL,Parque avellaneda,Comuna 09,Escuela Reino De Thailandia,2
CINE Y AUDIOVISUAL,Parque avellaneda,Comuna 09,Espacio Cultural Chacra De Los Remedios,21
CINE Y AUDIOVISUAL,Parque chacabuco,Comuna 07,Espacio Cultural Adan Buenosayres,2
CINE Y AUDIOVISUAL,Recoleta,Comuna 02,Barrio Saldias,2
CINE Y AUDIOVISUAL,Recoleta,Comuna 02,Centro Cultural Recoleta,104
CINE Y AUDIOVISUAL,Recoleta,Comuna 02,Plaza Francia,1
CINE Y AUDIOVISUAL,Retiro,Comuna 01,,1
CINE Y AUDIOVISUAL,Retiro,Comuna 01,Barrio 31,3
CINE Y AUDIOVISUAL,Retiro,Comuna 01,Cancha 9,1
CINE Y AUDIOVISUAL,Retiro,Comuna 01,Museo De Arte Hispanoamericano Isaac Fernandez Blanco,5
CINE Y AUDIOVISUAL,Saavedra,Comuna 12,Museo Historico Cornelio Saavedra,7
CINE Y AUDIOVISUAL,San cristobal,Comuna 03,,2
CINE Y AUDIOVISUAL,San cristobal,Comuna 03,Casa Trans,1
CINE Y AUDIOVISUAL,San nicolas,Comuna 01,,1
CINE Y AUDIOVISUAL,San nicolas,Comuna 01,Centro Cultural San Martin,454
CINE Y AUDIOVISUAL,San nicolas,Comuna 01,Espacio Incaa Km 0 - Gaumont,5
