LATITUD,LONGITUD,ESTABLECIMIENTO,AIRELIBRE,BARRIO,TIPO,CANTIDAD
-34.6473677,-58.4395845,Barrio 1-11-14,NO,,,1
-34.65008,-58.4341013,Barrio 1-11-14,NO,,,1
-34.60882865488107,-58.37824270086715,Academia Nacional Del Tango,NO,Monserrat,,5
-34.61862241268428,-58.38547430848495,Academia Porteña Del Lunfardo,NO,Constitucion,,2
-34.6093578,-58.3859891,Acceso Principal,NO,,,2
-34.6099619,-58.3743988,Acceso Principal,NO,,,2
-34.613007,-58.3903843,Acceso Principal,NO,,,1
-34.6131506,-58.3848629,Acceso Principal,NO,,,1
-34.6164876,-58.3738047,Acceso Principal,NO,,,1
-34.608589,-58.3804568,Acceso Principal,SI,,,1
-34.60673190253495,-58.43843955032307,Anfiteatro Eva Perón,SI,Caballito,Parque/Plaza/Anfiteatro,1
-34.618181,-58.357311,Anfiteatro Nini Marshall,NO,Puerto madero,Parque/Plaza/Anfiteatro,2
-34.60510658093668,-58.438104411584334,Anfiteatro Parque Centenario,NO ESPECIFICA,Caballito,Parque/Plaza/Anfiteatro,24
-34.609844379144405,-58.37074664501394,Antiguo Congreso,DECISION DE LA ESCUELA,Monserrat,Museo,7
-34.609844379144405,-58.37074664501394,Antiguo Congreso,NO,Monserrat,Museo,4
-34.609844379144405,-58.37074664501394,Antiguo Congreso,SI,Monserrat,Museo,1
-34.60479836093698,-58.37055029681476,Archivo General De La Nacion,NO,San nicolas,,5
-34.62774386098397,-58.357774665042264,Arte Urbano,NO,Boca,Centro Cultural,24
-34.582954,-58.4418469,Arte Viceversa,NO,,,2
-34.60187838,-58.39018861,Asociacion Dante Alighieri,NO,San nicolas,,1
-34.61746576146352,-58.3763639399164,Asociacion Japonesa Buenos Aires,NO,San telmo,,1
-34.61257296698433,-58.37236646686609,Atrio,DECISION DE LA ESCUELA,Monserrat,Establecimiento Religioso,14
-34.61257296698433,-58.37236646686609,Atrio,NO,Monserrat,Establecimiento Religioso,2
-34.61429685103052,-58.397742731987556,Atrio,NO,Balvanera,Establecimiento Religioso,4
-34.62532812677431,-58.37128722280467,Atrio,NO,San telmo,Establecimiento Religioso,6
-34.61257296698433,-58.37236646686609,Atrio,SI,Monserrat,Establecimiento Religioso,1
-34.629126618374656,-58.46333832987695,Atrio,SI,Flores,Establecimiento Religioso,6
-34.566621451220584,-58.44935924237203,Auditorio Belgrano,NO,Belgrano,,3
-34.566621451220584,-58.44935924237203,Auditorio Belgrano,NO ESPECIFICA,Belgrano,,1
-34.59277470457643,-58.38611765917763,Auditorio Doctorado Untref,NO,Retiro,,1
-34.605382678600854,-58.388832219664586,Auditorio Umsa,NO,San nicolas,,1
-34.61885099948051,-58.36714200553309,Auditorio Uocra,NO,San telmo,,2
-34.58275837728238,-58.3998684593971,Automovil Club Argentino,NO,Palermo,Club/Fundación,8
-34.584923,-58.488592,Bar,NO,Parque chas,Bar/Confitería/Restaurant,2
-34.58783151027512,-58.390760731886445,Bar,NO,Recoleta,Bar/Confitería/Restaurant,7
-34.59785982737417,-58.44109764843563,Bar,NO,Villa crespo,Bar/Confitería/Restaurant,2
-34.59788454040555,-58.37319699538872,Bar,NO,Retiro,Bar/Confitería/Restaurant,6
-34.598395433434476,-58.388092703323,Bar,NO,Recoleta,Bar/Confitería/Restaurant,4
-34.60193575026652,-58.39113133111832,Bar,NO,San nicolas,Bar/Confitería/Restaurant,3
-34.603037549136566,-58.391001819744126,Bar,NO,San nicolas,Bar/Confitería/Restaurant,3
-34.605575916339426,-58.390931516261645,Bar,NO,San nicolas,Bar/Confitería/Restaurant,3
-34.609167486107324,-58.38430027404939,Bar,NO,Monserrat,Bar/Confitería/Restaurant,5
-34.60921654690478,-58.38273798788174,Bar,NO,Monserrat,Bar/Confitería/Restaurant,12
-34.609399,-58.383276,Bar,NO,Monserrat,Bar/Confitería/Restaurant,6
-34.615895275456815,-58.448852299854586,Bar,NO,Caballito,Bar/Confitería/Restaurant,6
-34.61961646628133,-58.37414406324138,Bar,NO,San telmo,Bar/Confitería/Restaurant,1
-34.625432000243414,-58.41610312091291,Bar,NO,Boedo,Bar/Confitería/Restaurant,1
-34.65042100684513,-58.385545932540325,Bar,SI,Barracas,Bar/Confitería/Restaurant,2
-34.609167486107324,-58.38430027404939,Bar 36 Billares,NO,Monserrat,Bar/Confitería/Restaurant,4
-34.60549627854957,-58.39091461412017,Bar Celta,NO,San nicolas,Bar/Confitería/Restaurant,1
-34.603400922164106,-58.41784356843922,Bar El Simbolo,NO,Almagro,Bar/Confitería/Restaurant,4
-34.60341567896628,-58.41769698852351,Bar El Simbolo,NO,Almagro,Bar/Confitería/Restaurant,1
-34.603400922164106,-58.41784356843922,Bar El Simbolo,NO ESPECIFICA,Almagro,Bar/Confitería/Restaurant,1
-34.643814,-58.4889347,Barrio 1-11-14,NO,,Barrio,1
-34.6472601,-58.451404,Barrio 1-11-14,NO,,Barrio,3
-34.6501318,-58.4337941,Barrio 1-11-14,NO,,Barrio,1
-34.6472601,-58.451404,Barrio 1-11-14,SI,,Barrio,1
-34.6501318,-58.4337941,Barrio 1-11-14,SI,,Barrio,1
-34.6781372,-58.4666191,Barrio 20,NO,,Barrio,1
-34.6801291,-58.4686781,Barrio 20,NO,,Barrio,1
-34.6537122,-58.3983089,Barrio 21-24,NO,Barracas,Barrio,1
-34.6563611,-58.4023258,Barrio 21-24,NO,Barracas,Barrio,3
-34.6563611,-58.4023258,Barrio 21-24,SI,Barracas,Barrio,3
-34.58338631967589,-58.37480399710721,Barrio 31,NO,Retiro,Barrio,8
-34.5842543,-58.3777723,Barrio 31,NO,Retiro,Barrio,1
-34.58338631967589,-58.37480399710721,Barrio 31,SI,Retiro,Barrio,12
-34.655317241053204,-58.471425197992126,Barrio Cildañez,NO,Parque avellaneda,Barrio,5
-34.658418370547444,-58.473234630467246,Barrio Cildañez,NO,Parque avellaneda,Barrio,1
-34.65958900303884,-58.449762118634894,Barrio Fatima,NO,Villa soldati,Barrio,3
-34.6608115,-58.4503919,Barrio Fatima,NO,,Barrio,1
-34.646505142674464,-58.435540620158996,Barrio Juan Xxiii,NO,Flores,Barrio,3
-34.646505142674464,-58.435540620158996,Barrio Juan Xxiii,SI,Flores,Barrio,1
-34.633122009481234,-58.35335327497871,Barrio Lamadrid,NO,Boca,Barrio,2
-34.633122009481234,-58.35335327497871,Barrio Lamadrid,NO ESPECIFICA,Boca,Barrio,1
-34.6629353,-58.4546416,Barrio Los Piletones,NO,,Barrio,1
-34.583846,-58.454586,Barrio Playon De Chacarita,NO,Chacarita,Barrio,2
-34.583846206709474,-58.45458626918554,Barrio Playon De Chacarita,NO,Chacarita,Barrio,7
-34.583846206709474,-58.45458626918554,Barrio Playon De Chacarita,SI,Chacarita,Barrio,2
-34.623329906738604,-58.35351607832316,Barrio Rodrigo Bueno,NO,Boca,Barrio,9
-34.57530046562226,-58.39945832479622,Barrio Saldias,NO,Recoleta,Barrio,3
-34.650452651326525,-58.4046682045472,Barrio Zavalela,NO,Nueva pompeya,Barrio,1
-34.6094507,-58.3821686,Bazar De Magia,NO,,,1
-34.68500124516693,-58.46355092173582,Biblioteca Alvaro Yunque,NO,Villa lugano,Biblioteca,6
-34.59931194686649,-58.51089314204147,Biblioteca Antonio Devoto,NO,Villa devoto,Biblioteca,9
-34.59135290571172,-58.45036405033721,Biblioteca Baldomero Fernandez Moreno,NO,Chacarita,Biblioteca,10
-34.581349743666664,-58.42387506537188,Biblioteca Carlos Guido Y Spano,NO,Palermo,Biblioteca,45
-34.581349743666664,-58.42387506537188,Biblioteca Carlos Guido Y Spano,NO ESPECIFICA,Palermo,Biblioteca,1
-34.59788444104003,-58.42980330035333,Biblioteca Casa De La Lectura,NO,Villa crespo,Biblioteca,289
-34.59788444104003,-58.42980330035333,Biblioteca Casa De La Lectura,NO ESPECIFICA,Villa crespo,Biblioteca,16
-34.59788444104003,-58.42980330035333,Biblioteca Casa De La Lectura,SI,Villa crespo,Biblioteca,7
-34.63751515198204,-58.40742949814535,Biblioteca Enrique Banchs,NO,Parque patricios,Biblioteca,33
-34.634051710654695,-58.43833783231772,Biblioteca Estanislao Del Campo,NO ESPECIFICA,Parque chacabuco,Biblioteca,1
-34.62333670051808,-58.49222261701263,Biblioteca Hilario Ascasubi,NO,Floresta,Biblioteca,37
-34.62333670051808,-58.49222261701263,Biblioteca Hilario Ascasubi,NO ESPECIFICA,Floresta,Biblioteca,1
-34.62333670051808,-58.49222261701263,Biblioteca Hilario Ascasubi,SI,Floresta,Biblioteca,1
-34.635417590607624,-58.359041839999705,Biblioteca Joaquin V Gonzalez,NO,Boca,Biblioteca,37
-34.635417590607624,-58.359041839999705,Biblioteca Joaquin V Gonzalez,SI,Boca,Biblioteca,2
-34.64636149393454,-58.52096285883602,Biblioteca Jose Hernandez,NO,Liniers,Biblioteca,6
-34.64636149,-58.52096286,Biblioteca Jose Hernandez,NO ESPECIFICA,Liniers,Biblioteca,1
-34.56159928879758,-58.448722431649,Biblioteca La Reina Batata,NO,Belgrano,Biblioteca,10
-34.61471499877051,-58.38814024640189,Biblioteca Martin Del Barco Centenera,NO,Monserrat,Biblioteca,41
-34.61471499877051,-58.38814024640189,Biblioteca Martin Del Barco Centenera,NO ESPECIFICA,Monserrat,Biblioteca,1
-34.61471499877051,-58.38814024640189,Biblioteca Martin Del Barco Centenera,SI,Monserrat,Biblioteca,3
-34.62500862987283,-58.426347325269624,Biblioteca Miguel Cane,NO,Boedo,Biblioteca,2
-34.6700737,-58.4548418,Biblioteca Norah Lange,NO ESPECIFICA,,Biblioteca,2
-34.549028763123005,-58.47258045573923,Biblioteca Popular Cornelio Saavedra,NO,Saavedra,Biblioteca,4
-34.60957797818846,-58.48391969262036,Biblioteca Rafael Obligado,NO,Villa santa rita,Biblioteca,19
-34.59363884061729,-58.385949982372814,Biblioteca Ricardo Guiraldes,NO,Retiro,Biblioteca,97
-34.59363884061729,-58.385949982372814,Biblioteca Ricardo Guiraldes,NO ESPECIFICA,Retiro,Biblioteca,1
-34.584759562052035,-58.39775381624413,Bliblioteca Nacional,NO,Recoleta,Biblioteca,6
-34.604264986337284,-58.37089840348103,Bolsa De Comercio,NO,San nicolas,,10
-34.603405240550366,-58.367083837473494,Buque Museo Ara Corbeta Uruguay,SI,Puerto madero,Museo,3
-34.609374469996325,-58.36639953002723,Buque Museo Fragata Ara Presidente Sarmiento,DECISION DE LA ESCUELA,Puerto madero,Museo,1
-34.609374469996325,-58.36639953002723,Buque Museo Fragata Ara Presidente Sarmiento,NO,Puerto madero,Museo,1
-34.609374469996325,-58.36639953002723,Buque Museo Fragata Ara Presidente Sarmiento,SI,Puerto madero,Museo,21
-34.60635337988071,-58.51059071127131,Cafe Garcia,NO,Villa devoto,,2
-34.60635337988071,-58.51059071127131,Cafe Garcia,NO ESPECIFICA,Villa devoto,,2
-34.60882071063797,-58.37812906529784,Cafe Tortoni,NO,Monserrat,,2
-34.60882071063797,-58.37812906529784,Cafe Tortoni,SI,Monserrat,,1
-34.5985392,-58.4183222,Camarín De Las Musas,NO,,,1
-34.58338631967589,-58.37480399710721,Cancha 9,NO,Retiro,,1
-34.5864656,-58.3939406,Cancha De Los Paraguayos,NO,Recoleta,,5
-34.5864938304228,-58.39157761250419,Cancha De Los Paraguayos,NO,Recoleta,,4
-34.5864656,-58.3939406,Cancha De Los Paraguayos,NO ESPECIFICA,Recoleta,,1
-34.61000933610084,-58.37211019337147,Casa Altos De Elorriaga,NO,Monserrat,,1
-34.60848379973595,-58.37440435532054,Casa De La Cultura,NO,Monserrat,Centro Cultural,17
-34.60848379973595,-58.37440435532054,Casa De La Cultura,NO ESPECIFICA,Monserrat,Centro Cultural,2
-34.60848379973595,-58.37440435532054,Casa De La Cultura,SI,Monserrat,Centro Cultural,1
-34.6089193,-58.4351477,Casa Del Parque,NO,,Parque/Plaza/Anfiteatro,4
-34.61000336258529,-58.38654403092237,Casa Museo Fernandez Blanco,DECISION DE LA ESCUELA,Monserrat,Museo,3
-34.61000336258529,-58.38654403092237,Casa Museo Fernandez Blanco,NO,Monserrat,Museo,75
-34.61000336258529,-58.38654403092237,Casa Museo Fernandez Blanco,NO ESPECIFICA,Monserrat,Museo,10
-34.61000336258529,-58.38654403092237,Casa Museo Fernandez Blanco,SI,Monserrat,Museo,32
-34.5908033,-58.3821339,Casa Museo Fernandez Blanco,NO ESPECIFICA,Monserrat,Museo,4
-34.62562327659284,-58.401858833213446,Casa Trans,NO,San cristobal,,1
-34.61816590006903,-58.37591640925527,Casal Catalunya,NO,San telmo,,9
-34.61816590006903,-58.37591640925527,Casal Catalunya,SI,San telmo,,3
-34.60785634609108,-58.37271655946429,Catedral Metropolitana,NO,San nicolas,,2
-34.60423472247466,-58.36937619460313,Cck,NO,San nicolas,,9
-34.60423472247466,-58.36937619460313,Cck,NO ESPECIFICA,San nicolas,,6
-34.6046896,-58.3981867,C.C. Rojas,NO,,Centro Cultural,2
-34.614550198548216,-58.390429144862594,Centro Austariano,NO,Monserrat,Centro Cultural,1
-34.56994449047715,-58.39919313515308,Centro Costa Salguero,NO ESPECIFICA,Recoleta,Centro Cultural,1
-34.5761744196643,-58.48356797505019,Centro Cultural 25 De Mayo,NO,Villa urquiza,Centro Cultural,563
-34.5761744196643,-58.48356797505019,Centro Cultural 25 De Mayo,NO ESPECIFICA,Villa urquiza,Centro Cultural,20
-34.6081703798867,-58.45330646753296,Centro Cultural Alberto Olmedo,NO,Caballito,Centro Cultural,7
-34.60032472276961,-58.41161585586231,Centro Cultural Alfonsina Storni,NO,Balvanera,Centro Cultural,29
-34.621550072704295,-58.49228807819247,Centro Cultural Baldomero Fernandez Moreno,NO,Floresta,Centro Cultural,10
-34.66596448203286,-58.47327195084701,Centro Cultural Barrio Copello,NO,Villa lugano,Centro Cultural,14
-34.66596448203286,-58.47327195084701,Centro Cultural Barrio Copello,SI,Villa lugano,Centro Cultural,1
-34.64357233303489,-58.44147698057611,Centro Cultural Barrio Rivadavia,NO,Flores,Centro Cultural,3
-34.6436103,-58.4436702,Centro Cultural Barrio Rivadavia,NO,,Centro Cultural,1
-34.57315169570382,-58.468626249378836,Centro Cultural Belgrano,NO,Villa urquiza,Centro Cultural,6
-34.5997204,-58.3764916,Centro Cultural Borges,NO,,Centro Cultural,4
-34.6538069,-58.3985739,Centro Cultural Casa Cambalache,NO,,Centro Cultural,1
-34.57653930780401,-58.452344950885035,Centro Cultural Colegiales,NO,Colegiales,Centro Cultural,6
-34.6041475083274,-58.38854005506371,Centro Cultural De La Cooperacion,NO,San nicolas,Centro Cultural,5
-34.64538521995846,-58.432801945762,Centro Cultural Del Bajo Flores,NO,Nueva pompeya,Centro Cultural,2
-34.6454471,-58.4349628,Centro Cultural Del Bajo Flores,NO,,Centro Cultural,1
-34.60116315357645,-58.513342005124635,Centro Cultural Devoto,NO,Villa devoto,Centro Cultural,11
-34.5528078,-58.4891251,Centro Cultural Discepolín,NO,,Centro Cultural,1
-34.612839908973015,-58.436311589563005,Centro Cultural El Eternauta,NO,Caballito,Centro Cultural,7
-34.623979483694555,-58.505318981185034,Centro Cultural El Taller,NO,Monte castro,Centro Cultural,7
-34.659615,-58.4312131,Centro Cultural Eladia Blázquez,NO,,Centro Cultural,1
-34.65068038142836,-58.52571965558646,Centro Cultural Elias Castelnuovo,NO,Liniers,Centro Cultural,5
-34.6216921524186,-58.37029615669824,Centro Cultural Fortunato Lacamera,NO,San telmo,Centro Cultural,7
-34.654741686523835,-58.420408148068205,Centro Cultural Homero Manzi,NO,Nueva pompeya,Centro Cultural,5
-34.6787844,-58.4954584,Centro Cultural Juan Carlos Castagnino,NO,,Centro Cultural,4
-34.55106498099947,-58.46088183510188,Centro Cultural Julio Cortazar,NO,Nuñez,Centro Cultural,6
-34.6378452,-58.484499,Centro Cultural La Casita De La Selva,NO,,Centro Cultural,2
-34.6620146,-58.3996603,Centro Cultural La Loma,NO,,Centro Cultural,1
-34.6160585,-58.4690927,Centro Cultural La Paternal,NO,,Centro Cultural,1
-34.653556018219255,-58.385349810200196,Centro Cultural La Usina,NO,Barracas,Centro Cultural,3
-34.555560852557875,-58.47815808308784,Centro Cultural Lino E. Spilimbergo,NO,Saavedra,Centro Cultural,7
-34.60438785907188,-58.43203533865715,Centro Cultural Lola Mora,NO,Caballito,Centro Cultural,22
-34.652395009481936,-58.508513157453436,Centro Cultural Macedonio Fernandez,NO,Mataderos,Centro Cultural,4
-34.61132,-58.37252,Centro Cultural Mariano Moreno,SI,,Centro Cultural,2
-34.6239517,-58.4206076,Centro Cultural Nicolás Olivari,NO,,Centro Cultural,7
-34.6239517,-58.4206076,Centro Cultural Nicolás Olivari,SI,,Centro Cultural,3
-34.6010133,-58.4412393,Centro Cultural Osvaldo Pugliese,NO,,Centro Cultural,1
-34.60108379413317,-58.43904225284488,Centro Cultural Osvaldo Pugliese,NO,Villa crespo,Centro Cultural,2
-34.5864938304228,-58.39157761250419,Centro Cultural Recoleta,NO,Recoleta,Centro Cultural,437
-34.5864938304228,-58.39157761250419,Centro Cultural Recoleta,NO ESPECIFICA,Recoleta,Centro Cultural,45
-34.5864938304228,-58.39157761250419,Centro Cultural Recoleta,SI,Recoleta,Centro Cultural,12
-34.60458806264701,-58.39586447807118,Centro Cultural Ricardo Rojas,NO,Balvanera,Centro Cultural,3
-34.624830904220694,-58.46694870917976,Centro Cultural Roberto Arlt,NO,Flores,Centro Cultural,8
-34.57937773831784,-58.469074554053634,Centro Cultural Roberto Santoro,NO,Villa ortuzar,Centro Cultural,8
-34.68829785019531,-58.463126457797536,Centro Cultural Saladiyo,NO,Villa lugano,Centro Cultural,3
-34.605367766748735,-58.388585025559074,Centro Cultural San Martin,NO,San nicolas,Centro Cultural,1239
-34.605367766748735,-58.388585025559074,Centro Cultural San Martin,NO ESPECIFICA,San nicolas,Centro Cultural,104
-34.605367766748735,-58.388585025559074,Centro Cultural San Martin,SI,San nicolas,Centro Cultural,1
-34.626871046221346,-58.44721760958304,Centro Cultural Sebastian Piana,NO,Caballito,Centro Cultural,23
-34.59185320179216,-58.417255733601756,Centro Cultural Tato Bores,NO,Palermo,Centro Cultural,4
-34.62845298387908,-58.52280752695565,Centro Cultural Versalles,NO,Versalles,Centro Cultural,18
-34.584182,-58.37985,Centro Warmis,NO,,Centro Cultural,3
-34.584182,-58.37985,Centro Warmis,NO ESPECIFICA,,Centro Cultural,1
-34.6590382,-58.4768703,Cildañez,NO,,,1
-34.60662105751036,-58.41046426348181,Ciudad Cultural Konex,NO,Balvanera,Centro Cultural,2
-34.60662105751036,-58.41046426348181,Ciudad Cultural Konex,NO ESPECIFICA,Balvanera,Centro Cultural,1
-34.6804149,-58.4892957,Ciudad Oculta,NO,,Barrio,1
-34.6696971,-58.5027236,Club Cárdenas,NO ESPECIFICA,,Club/Fundación,1
-34.5973516,-58.4284217,Club Cultural Matienzo,NO,,Centro Cultural,1
-34.6279388789167,-58.35705451560421,Club Del Slack,NO,Boca,Club/Fundación,67
-34.650623144393855,-58.42320195962023,Club Juventud Y Armonia,NO,Nueva pompeya,Club/Fundación,2
-34.6119698,-58.4375604,Club Premier,NO,,Club/Fundación,2
-34.59356675666435,-58.38440728668004,Colegio Domingo Faustino Sarmiento,NO,Retiro,,4
-34.582177,-58.3809015,Comedor Leticia,NO,,,1
-34.68087213000327,-58.4893077298655,Complejo Padre Mugica,NO,Villa lugano,,2
